year,net_income,unit,ticker,target
2007,3.303B,B,QCOM,1
2006,2.47B,B,QCOM,1
2005,2.143B,B,QCOM,1
2004,1.72B,B,QCOM,1
2003,827.00M,M,QCOM,1
2002,360.00M,M,QCOM,1
2001,-548.74M,M,QCOM,0
2000,670.21M,M,QCOM,1
1999,200.90M,M,QCOM,1
1998,108.50M,M,QCOM,1
1997,91.93M,M,QCOM,
2018,8.728B,B,IBM,1
2017,5.753B,B,IBM,0
2016,11.87B,B,IBM,0
2015,13.19B,B,IBM,1
2014,12.02B,B,IBM,0
2013,16.48B,B,IBM,0
2012,16.60B,B,IBM,1
2011,15.86B,B,IBM,1
2010,14.83B,B,IBM,1
2009,13.42B,B,IBM,1
2008,12.33B,B,IBM,1
2007,10.42B,B,IBM,1
2006,9.492B,B,IBM,1
2005,7.934B,B,IBM,1
2004,7.479B,B,IBM,1
2003,6.558B,B,IBM,1
2002,3.579B,B,IBM,0
2001,7.723B,B,IBM,0
2000,8.093B,B,IBM,1
1999,7.712B,B,IBM,1
1998,6.328B,B,IBM,1
1997,6.093B,B,IBM,
2018,2.591B,B,ADBE,1
2017,1.694B,B,ADBE,1
2016,1.169B,B,ADBE,1
2015,629.55M,M,ADBE,1
2014,268.40M,M,ADBE,0
2013,289.98M,M,ADBE,0
2012,832.78M,M,ADBE,0
2011,832.85M,M,ADBE,1
2010,774.68M,M,ADBE,1
2009,386.51M,M,ADBE,0
2008,871.81M,M,ADBE,1
2007,723.81M,M,ADBE,1
2006,505.81M,M,ADBE,0
2005,602.84M,M,ADBE,1
2004,450.40M,M,ADBE,1
2003,266.34M,M,ADBE,1
2002,191.40M,M,ADBE,0
2001,205.64M,M,ADBE,0
2000,287.81M,M,ADBE,1
1999,237.75M,M,ADBE,
2018,361.00M,M,XRX,1
2017,195.00M,M,XRX,1
2016,-471.00M,M,XRX,0
2015,448.00M,M,XRX,0
2014,1.013B,B,XRX,0
2013,1.159B,B,XRX,0
2012,1.195B,B,XRX,0
2011,1.295B,B,XRX,1
2010,606.00M,M,XRX,1
2009,485.00M,M,XRX,1
2008,230.00M,M,XRX,0
